position,gene,element
230,AT3G08500,no
231,AT3G08500,no
232,AT3G08500,no
233,AT3G08500,no
234,AT3G08500,no
235,AT3G08500,no
236,AT3G08500,no
237,AT3G08500,no
238,AT3G08500,no
239,AT3G08500,no
240,AT3G08500,no
241,AT3G08500,no
242,AT3G08500,no
243,AT3G08500,no
244,AT3G08500,no
245,AT3G08500,no
246,AT3G08500,no
247,AT3G08500,no
248,AT3G08500,no
249,AT3G08500,no
250,AT3G08500,no
251,AT3G08500,no
252,AT3G08500,no
253,AT3G08500,no
254,AT3G08500,no
255,AT3G08500,no
256,AT3G08500,no
257,AT3G08500,no
258,AT3G08500,no
259,AT3G08500,no
260,AT3G08500,no
261,AT3G08500,no
262,AT3G08500,no
263,AT3G08500,no
264,AT3G08500,no
265,AT3G08500,no
266,AT3G08500,no
267,AT3G08500,no
268,AT3G08500,no
269,AT3G08500,no
270,AT3G08500,no
271,AT3G08500,no
272,AT3G08500,no
273,AT3G08500,no
274,AT3G08500,no
275,AT3G08500,no
276,AT3G08500,no
277,AT3G08500,no
278,AT3G08500,no
279,AT3G08500,no
280,AT3G08500,no
281,AT3G08500,no
282,AT3G08500,no
283,AT3G08500,no
284,AT3G08500,no
285,AT3G08500,no
286,AT3G08500,no
287,AT3G08500,no
288,AT3G08500,no
289,AT3G08500,no
290,AT3G08500,no
291,AT3G08500,no
292,AT3G08500,no
293,AT3G08500,no
294,AT3G08500,no
295,AT3G08500,no
296,AT3G08500,no
297,AT3G08500,no
298,AT3G08500,no
299,AT3G08500,no
300,AT3G08500,no
301,AT3G08500,no
302,AT3G08500,no
303,AT3G08500,no
304,AT3G08500,no
305,AT3G08500,no
306,AT3G08500,no
307,AT3G08500,no
308,AT3G08500,no
309,AT3G08500,no
310,AT3G08500,no
311,AT3G08500,no
312,AT3G08500,no
313,AT3G08500,no
314,AT3G08500,no
315,AT3G08500,no
316,AT3G08500,no
317,AT3G08500,no
318,AT3G08500,no
319,AT3G08500,no
320,AT3G08500,no
321,AT3G08500,no
322,AT3G08500,no
323,AT3G08500,no
324,AT3G08500,no
325,AT3G08500,no
326,AT3G08500,no
327,AT3G08500,no
328,AT3G08500,no
329,AT3G08500,no
330,AT3G08500,no
331,AT3G08500,no
332,AT3G08500,no
333,AT3G08500,no
334,AT3G08500,no
335,AT3G08500,no
336,AT3G08500,no
337,AT3G08500,no
338,AT3G08500,no
339,AT3G08500,no
340,AT3G08500,no
341,AT3G08500,no
342,AT3G08500,no
343,AT3G08500,no
344,AT3G08500,no
345,AT3G08500,no
346,AT3G08500,no
347,AT3G08500,no
348,AT3G08500,no
349,AT3G08500,no
350,AT3G08500,no
351,AT3G08500,no
352,AT3G08500,no
353,AT3G08500,no
354,AT3G08500,no
355,AT3G08500,no
356,AT3G08500,no
357,AT3G08500,no
358,AT3G08500,no
359,AT3G08500,no
360,AT3G08500,no
361,AT3G08500,no
362,AT3G08500,no
363,AT3G08500,no
364,AT3G08500,no
365,AT3G08500,no
366,AT3G08500,no
367,AT3G08500,no
368,AT3G08500,no
369,AT3G08500,no
370,AT3G08500,no
371,AT3G08500,no
372,AT3G08500,no
373,AT3G08500,no
374,AT3G08500,no
375,AT3G08500,no
376,AT3G08500,no
377,AT3G08500,no
378,AT3G08500,no
379,AT3G08500,no
380,AT3G08500,no
381,AT3G08500,no
382,AT3G08500,no
383,AT3G08500,no
384,AT3G08500,no
385,AT3G08500,no
386,AT3G08500,no
387,AT3G08500,no
388,AT3G08500,no
389,AT3G08500,no
390,AT3G08500,no
391,AT3G08500,no
392,AT3G08500,no
393,AT3G08500,no
394,AT3G08500,no
395,AT3G08500,no
396,AT3G08500,no
397,AT3G08500,no
398,AT3G08500,no
399,AT3G08500,no
400,AT3G08500,no
401,AT3G08500,no
402,AT3G08500,no
403,AT3G08500,no
404,AT3G08500,no
405,AT3G08500,no
406,AT3G08500,no
407,AT3G08500,no
408,AT3G08500,no
409,AT3G08500,no
410,AT3G08500,no
411,AT3G08500,no
412,AT3G08500,no
413,AT3G08500,no
414,AT3G08500,no
415,AT3G08500,no
416,AT3G08500,no
417,AT3G08500,no
418,AT3G08500,no
419,AT3G08500,no
420,AT3G08500,no
421,AT3G08500,no
422,AT3G08500,no
423,AT3G08500,no
424,AT3G08500,no
425,AT3G08500,no
426,AT3G08500,no
427,AT3G08500,no
428,AT3G08500,no
429,AT3G08500,no
430,AT3G08500,no
431,AT3G08500,no
432,AT3G08500,no
433,AT3G08500,no
434,AT3G08500,no
435,AT3G08500,no
436,AT3G08500,no
437,AT3G08500,no
438,AT3G08500,no
439,AT3G08500,no
440,AT3G08500,no
441,AT3G08500,no
442,AT3G08500,no
443,AT3G08500,no
444,AT3G08500,no
445,AT3G08500,no
446,AT3G08500,no
447,AT3G08500,no
448,AT3G08500,no
449,AT3G08500,no
450,AT3G08500,no
451,AT3G08500,no
452,AT3G08500,no
453,AT3G08500,no
454,AT3G08500,no
455,AT3G08500,no
456,AT3G08500,no
457,AT3G08500,no
458,AT3G08500,no
459,AT3G08500,no
460,AT3G08500,no
461,AT3G08500,no
462,AT3G08500,no
463,AT3G08500,no
464,AT3G08500,no
465,AT3G08500,no
466,AT3G08500,no
467,AT3G08500,no
468,AT3G08500,no
469,AT3G08500,no
470,AT3G08500,no
471,AT3G08500,no
472,AT3G08500,no
473,AT3G08500,no
474,AT3G08500,no
475,AT3G08500,no
476,AT3G08500,no
477,AT3G08500,no
478,AT3G08500,no
479,AT3G08500,no
480,AT3G08500,no
481,AT3G08500,no
482,AT3G08500,no
483,AT3G08500,no
484,AT3G08500,no
485,AT3G08500,no
486,AT3G08500,no
487,AT3G08500,no
488,AT3G08500,no
489,AT3G08500,no
490,AT3G08500,no
491,AT3G08500,no
492,AT3G08500,no
493,AT3G08500,no
494,AT3G08500,no
495,AT3G08500,no
496,AT3G08500,no
497,AT3G08500,no
498,AT3G08500,no
499,AT3G08500,no
500,AT3G08500,no
501,AT3G08500,no
502,AT3G08500,no
503,AT3G08500,no
504,AT3G08500,no
505,AT3G08500,no
506,AT3G08500,no
507,AT3G08500,no
508,AT3G08500,no
509,AT3G08500,no
510,AT3G08500,no
511,AT3G08500,no
512,AT3G08500,no
513,AT3G08500,no
514,AT3G08500,no
515,AT3G08500,no
516,AT3G08500,no
517,AT3G08500,no
518,AT3G08500,no
519,AT3G08500,no
520,AT3G08500,no
521,AT3G08500,no
522,AT3G08500,no
523,AT3G08500,no
524,AT3G08500,no
525,AT3G08500,no
526,AT3G08500,no
527,AT3G08500,no
528,AT3G08500,no
529,AT3G08500,no
530,AT3G08500,no
531,AT3G08500,no
532,AT3G08500,no
533,AT3G08500,no
534,AT3G08500,no
535,AT3G08500,no
536,AT3G08500,no
537,AT3G08500,no
538,AT3G08500,no
539,AT3G08500,no
540,AT3G08500,no
541,AT3G08500,no
542,AT3G08500,no
543,AT3G08500,no
544,AT3G08500,no
545,AT3G08500,no
546,AT3G08500,no
547,AT3G08500,no
548,AT3G08500,no
549,AT3G08500,no
550,AT3G08500,no
551,AT3G08500,no
552,AT3G08500,no
553,AT3G08500,no
554,AT3G08500,no
555,AT3G08500,no
556,AT3G08500,no
557,AT3G08500,no
558,AT3G08500,no
559,AT3G08500,no
560,AT3G08500,no
561,AT3G08500,no
562,AT3G08500,no
563,AT3G08500,no
564,AT3G08500,no
565,AT3G08500,no
566,AT3G08500,no
567,AT3G08500,no
568,AT3G08500,no
569,AT3G08500,no
570,AT3G08500,no
571,AT3G08500,no
572,AT3G08500,no
573,AT3G08500,no
574,AT3G08500,no
575,AT3G08500,no
576,AT3G08500,no
577,AT3G08500,no
578,AT3G08500,no
579,AT3G08500,no
580,AT3G08500,no
581,AT3G08500,no
582,AT3G08500,no
583,AT3G08500,no
584,AT3G08500,no
585,AT3G08500,no
586,AT3G08500,no
587,AT3G08500,no
588,AT3G08500,no
589,AT3G08500,no
590,AT3G08500,no
591,AT3G08500,no
592,AT3G08500,no
593,AT3G08500,no
594,AT3G08500,no
595,AT3G08500,no
596,AT3G08500,no
597,AT3G08500,no
598,AT3G08500,no
599,AT3G08500,no
600,AT3G08500,no
601,AT3G08500,no
602,AT3G08500,no
603,AT3G08500,no
604,AT3G08500,no
605,AT3G08500,no
606,AT3G08500,no
607,AT3G08500,no
608,AT3G08500,no
609,AT3G08500,no
610,AT3G08500,no
611,AT3G08500,no
612,AT3G08500,no
613,AT3G08500,no
614,AT3G08500,no
615,AT3G08500,no
616,AT3G08500,no
617,AT3G08500,no
618,AT3G08500,no
619,AT3G08500,no
620,AT3G08500,no
621,AT3G08500,no
622,AT3G08500,no
623,AT3G08500,no
624,AT3G08500,no
625,AT3G08500,no
626,AT3G08500,no
627,AT3G08500,no
628,AT3G08500,no
629,AT3G08500,no
630,AT3G08500,no
631,AT3G08500,no
632,AT3G08500,no
633,AT3G08500,no
634,AT3G08500,no
635,AT3G08500,no
636,AT3G08500,no
637,AT3G08500,no
638,AT3G08500,no
639,AT3G08500,no
640,AT3G08500,no
641,AT3G08500,no
642,AT3G08500,no
643,AT3G08500,no
644,AT3G08500,no
645,AT3G08500,no
646,AT3G08500,no
647,AT3G08500,no
648,AT3G08500,no
649,AT3G08500,no
650,AT3G08500,no
651,AT3G08500,no
652,AT3G08500,no
653,AT3G08500,no
654,AT3G08500,no
655,AT3G08500,no
656,AT3G08500,no
657,AT3G08500,no
658,AT3G08500,no
659,AT3G08500,no
660,AT3G08500,no
661,AT3G08500,no
662,AT3G08500,no
663,AT3G08500,no
664,AT3G08500,no
665,AT3G08500,no
666,AT3G08500,no
667,AT3G08500,no
668,AT3G08500,no
669,AT3G08500,no
670,AT3G08500,no
671,AT3G08500,no
672,AT3G08500,no
673,AT3G08500,no
674,AT3G08500,no
675,AT3G08500,no
676,AT3G08500,no
677,AT3G08500,no
678,AT3G08500,no
679,AT3G08500,no
680,AT3G08500,no
681,AT3G08500,no
682,AT3G08500,no
683,AT3G08500,no
684,AT3G08500,no
685,AT3G08500,no
686,AT3G08500,no
687,AT3G08500,no
688,AT3G08500,no
689,AT3G08500,no
690,AT3G08500,no
691,AT3G08500,no
692,AT3G08500,no
693,AT3G08500,no
694,AT3G08500,no
695,AT3G08500,no
696,AT3G08500,no
697,AT3G08500,no
698,AT3G08500,no
699,AT3G08500,no
700,AT3G08500,no
701,AT3G08500,no
702,AT3G08500,no
703,AT3G08500,no
704,AT3G08500,no
705,AT3G08500,no
706,AT3G08500,no
707,AT3G08500,no
708,AT3G08500,no
709,AT3G08500,no
710,AT3G08500,no
711,AT3G08500,no
712,AT3G08500,no
713,AT3G08500,no
714,AT3G08500,no
715,AT3G08500,no
716,AT3G08500,no
717,AT3G08500,no
718,AT3G08500,no
719,AT3G08500,no
720,AT3G08500,no
721,AT3G08500,no
722,AT3G08500,no
723,AT3G08500,no
724,AT3G08500,no
725,AT3G08500,no
726,AT3G08500,no
727,AT3G08500,no
728,AT3G08500,no
729,AT3G08500,no
730,AT3G08500,no
731,AT3G08500,no
732,AT3G08500,no
733,AT3G08500,no
734,AT3G08500,no
735,AT3G08500,no
736,AT3G08500,no
737,AT3G08500,no
738,AT3G08500,no
739,AT3G08500,no
740,AT3G08500,no
741,AT3G08500,no
742,AT3G08500,no
743,AT3G08500,no
744,AT3G08500,no
745,AT3G08500,no
746,AT3G08500,no
747,AT3G08500,no
748,AT3G08500,no
749,AT3G08500,no
750,AT3G08500,no
751,AT3G08500,no
752,AT3G08500,no
753,AT3G08500,no
754,AT3G08500,no
755,AT3G08500,no
756,AT3G08500,no
757,AT3G08500,no
758,AT3G08500,no
759,AT3G08500,no
760,AT3G08500,no
761,AT3G08500,no
762,AT3G08500,no
763,AT3G08500,no
764,AT3G08500,no
765,AT3G08500,no
766,AT3G08500,no
767,AT3G08500,no
768,AT3G08500,no
769,AT3G08500,no
770,AT3G08500,no
771,AT3G08500,no
772,AT3G08500,no
773,AT3G08500,no
774,AT3G08500,no
775,AT3G08500,no
776,AT3G08500,no
777,AT3G08500,no
778,AT3G08500,no
779,AT3G08500,no
780,AT3G08500,no
781,AT3G08500,no
782,AT3G08500,no
783,AT3G08500,no
784,AT3G08500,no
785,AT3G08500,no
786,AT3G08500,no
787,AT3G08500,no
788,AT3G08500,no
789,AT3G08500,no
790,AT3G08500,no
791,AT3G08500,no
792,AT3G08500,no
793,AT3G08500,no
794,AT3G08500,no
795,AT3G08500,no
796,AT3G08500,no
797,AT3G08500,no
798,AT3G08500,no
799,AT3G08500,no
800,AT3G08500,no
801,AT3G08500,no
802,AT3G08500,no
803,AT3G08500,no
804,AT3G08500,no
805,AT3G08500,no
806,AT3G08500,no
807,AT3G08500,no
808,AT3G08500,no
809,AT3G08500,no
810,AT3G08500,no
811,AT3G08500,no
812,AT3G08500,no
813,AT3G08500,no
814,AT3G08500,no
815,AT3G08500,no
816,AT3G08500,no
817,AT3G08500,no
818,AT3G08500,no
819,AT3G08500,no
820,AT3G08500,no
821,AT3G08500,no
822,AT3G08500,no
823,AT3G08500,no
824,AT3G08500,no
825,AT3G08500,no
826,AT3G08500,no
827,AT3G08500,no
828,AT3G08500,no
829,AT3G08500,no
830,AT3G08500,no
831,AT3G08500,no
832,AT3G08500,no
833,AT3G08500,no
834,AT3G08500,no
835,AT3G08500,no
836,AT3G08500,no
837,AT3G08500,no
838,AT3G08500,no
839,AT3G08500,no
840,AT3G08500,no
841,AT3G08500,no
842,AT3G08500,no
843,AT3G08500,no
844,AT3G08500,no
845,AT3G08500,no
846,AT3G08500,no
847,AT3G08500,no
848,AT3G08500,no
849,AT3G08500,no
850,AT3G08500,no
851,AT3G08500,no
852,AT3G08500,no
853,AT3G08500,no
854,AT3G08500,no
855,AT3G08500,no
856,AT3G08500,no
857,AT3G08500,no
858,AT3G08500,no
859,AT3G08500,no
860,AT3G08500,no
861,AT3G08500,no
862,AT3G08500,no
863,AT3G08500,no
864,AT3G08500,no
865,AT3G08500,no
866,AT3G08500,no
867,AT3G08500,no
868,AT3G08500,no
869,AT3G08500,no
870,AT3G08500,no
871,AT3G08500,no
872,AT3G08500,no
873,AT3G08500,no
874,AT3G08500,no
875,AT3G08500,no
876,AT3G08500,no
877,AT3G08500,no
878,AT3G08500,no
879,AT3G08500,no
880,AT3G08500,no
881,AT3G08500,no
882,AT3G08500,no
883,AT3G08500,no
884,AT3G08500,no
885,AT3G08500,no
886,AT3G08500,no
887,AT3G08500,no
888,AT3G08500,no
889,AT3G08500,no
890,AT3G08500,no
891,AT3G08500,no
892,AT3G08500,no
893,AT3G08500,no
894,AT3G08500,no
895,AT3G08500,no
896,AT3G08500,no
897,AT3G08500,no
898,AT3G08500,no
899,AT3G08500,no
900,AT3G08500,no
901,AT3G08500,no
902,AT3G08500,no
903,AT3G08500,no
904,AT3G08500,no
905,AT3G08500,no
906,AT3G08500,no
907,AT3G08500,no
908,AT3G08500,no
909,AT3G08500,no
910,AT3G08500,no
911,AT3G08500,no
912,AT3G08500,no
913,AT3G08500,no
914,AT3G08500,no
915,AT3G08500,no
916,AT3G08500,no
917,AT3G08500,no
918,AT3G08500,no
919,AT3G08500,no
920,AT3G08500,no
921,AT3G08500,no
922,AT3G08500,no
923,AT3G08500,no
924,AT3G08500,no
925,AT3G08500,no
926,AT3G08500,no
927,AT3G08500,no
928,AT3G08500,no
929,AT3G08500,no
930,AT3G08500,no
931,AT3G08500,no
932,AT3G08500,no
933,AT3G08500,no
934,AT3G08500,no
935,AT3G08500,no
936,AT3G08500,no
937,AT3G08500,no
938,AT3G08500,no
939,AT3G08500,no
940,AT3G08500,no
941,AT3G08500,no
942,AT3G08500,no
943,AT3G08500,no
944,AT3G08500,no
945,AT3G08500,no
946,AT3G08500,no
947,AT3G08500,no
948,AT3G08500,no
949,AT3G08500,no
950,AT3G08500,no
951,AT3G08500,no
952,AT3G08500,no
953,AT3G08500,no
954,AT3G08500,no
955,AT3G08500,no
956,AT3G08500,no
957,AT3G08500,no
958,AT3G08500,no
959,AT3G08500,no
960,AT3G08500,no
961,AT3G08500,no
962,AT3G08500,no
963,AT3G08500,no
964,AT3G08500,no
965,AT3G08500,no
966,AT3G08500,no
967,AT3G08500,no
968,AT3G08500,no
969,AT3G08500,no
970,AT3G08500,no
971,AT3G08500,no
972,AT3G08500,no
973,AT3G08500,no
974,AT3G08500,no
975,AT3G08500,no
976,AT3G08500,no
977,AT3G08500,no
978,AT3G08500,no
979,AT3G08500,no
980,AT3G08500,no
981,AT3G08500,no
982,AT3G08500,no
983,AT3G08500,no
984,AT3G08500,no
985,AT3G08500,no
986,AT3G08500,no
987,AT3G08500,no
988,AT3G08500,no
989,AT3G08500,no
990,AT3G08500,no
991,AT3G08500,no
992,AT3G08500,no
993,AT3G08500,no
994,AT3G08500,no
995,AT3G08500,no
996,AT3G08500,no
997,AT3G08500,no
998,AT3G08500,no
999,AT3G08500,no
1000,AT3G08500,no
1001,AT3G08500,no
1002,AT3G08500,no
1003,AT3G08500,no
1004,AT3G08500,no
1005,AT3G08500,no
1006,AT3G08500,no
1007,AT3G08500,no
1008,AT3G08500,no
1009,AT3G08500,no
1010,AT3G08500,no
1011,AT3G08500,no
1012,AT3G08500,no
1013,AT3G08500,no
1014,AT3G08500,no
1015,AT3G08500,no
1016,AT3G08500,no
1017,AT3G08500,no
1018,AT3G08500,no
1019,AT3G08500,no
1020,AT3G08500,no
1021,AT3G08500,no
1022,AT3G08500,no
1023,AT3G08500,no
1024,AT3G08500,no
1025,AT3G08500,no
1026,AT3G08500,no
1027,AT3G08500,no
1028,AT3G08500,no
1029,AT3G08500,no
1030,AT3G08500,no
1031,AT3G08500,no
1032,AT3G08500,no
1033,AT3G08500,no
1034,AT3G08500,no
1035,AT3G08500,no
1036,AT3G08500,no
1037,AT3G08500,no
1038,AT3G08500,no
1039,AT3G08500,no
1040,AT3G08500,no
1041,AT3G08500,no
1042,AT3G08500,no
1043,AT3G08500,no
1044,AT3G08500,no
1045,AT3G08500,no
1046,AT3G08500,no
1047,AT3G08500,no
1048,AT3G08500,no
1049,AT3G08500,no
1050,AT3G08500,no
1051,AT3G08500,no
1052,AT3G08500,no
1053,AT3G08500,no
1054,AT3G08500,no
1055,AT3G08500,no
1056,AT3G08500,no
1057,AT3G08500,no
1058,AT3G08500,no
1059,AT3G08500,no
1060,AT3G08500,no
1061,AT3G08500,no
1062,AT3G08500,no
1063,AT3G08500,no
1064,AT3G08500,no
1065,AT3G08500,no
1066,AT3G08500,no
1067,AT3G08500,no
1068,AT3G08500,no
1069,AT3G08500,no
1070,AT3G08500,no
1071,AT3G08500,no
1072,AT3G08500,no
1073,AT3G08500,no
1074,AT3G08500,no
1075,AT3G08500,no
1076,AT3G08500,no
1077,AT3G08500,no
1078,AT3G08500,no
1079,AT3G08500,no
1080,AT3G08500,no
1081,AT3G08500,no
1082,AT3G08500,no
1083,AT3G08500,no
1084,AT3G08500,no
1085,AT3G08500,no
1086,AT3G08500,no
1087,AT3G08500,no
1088,AT3G08500,no
1089,AT3G08500,no
1090,AT3G08500,no
1091,AT3G08500,no
1092,AT3G08500,no
1093,AT3G08500,no
1094,AT3G08500,no
1095,AT3G08500,no
1096,AT3G08500,no
1097,AT3G08500,no
1098,AT3G08500,no
1099,AT3G08500,no
1100,AT3G08500,no
1101,AT3G08500,no
1102,AT3G08500,no
1103,AT3G08500,no
1104,AT3G08500,no
1105,AT3G08500,no
1106,AT3G08500,no
1107,AT3G08500,no
1108,AT3G08500,no
1109,AT3G08500,no
1110,AT3G08500,no
1111,AT3G08500,no
1112,AT3G08500,no
1113,AT3G08500,no
1114,AT3G08500,no
1115,AT3G08500,no
1116,AT3G08500,no
1117,AT3G08500,no
1118,AT3G08500,no
1119,AT3G08500,no
1120,AT3G08500,no
1121,AT3G08500,no
1122,AT3G08500,no
1123,AT3G08500,no
1124,AT3G08500,no
1125,AT3G08500,no
1126,AT3G08500,no
1127,AT3G08500,no
1128,AT3G08500,no
1129,AT3G08500,no
1130,AT3G08500,no
1131,AT3G08500,no
1132,AT3G08500,no
1133,AT3G08500,no
1134,AT3G08500,no
1135,AT3G08500,no
1136,AT3G08500,no
1137,AT3G08500,no
1138,AT3G08500,no
1139,AT3G08500,no
1140,AT3G08500,no
1141,AT3G08500,no
1142,AT3G08500,no
1143,AT3G08500,no
1144,AT3G08500,no
1145,AT3G08500,no
1146,AT3G08500,no
1147,AT3G08500,no
1148,AT3G08500,no
1149,AT3G08500,no
1150,AT3G08500,no
1151,AT3G08500,no
1152,AT3G08500,no
1153,AT3G08500,no
1154,AT3G08500,no
1155,AT3G08500,no
1156,AT3G08500,no
1157,AT3G08500,no
1158,AT3G08500,no
1159,AT3G08500,no
1160,AT3G08500,no
1161,AT3G08500,no
1162,AT3G08500,no
1163,AT3G08500,no
1164,AT3G08500,no
1165,AT3G08500,no
1166,AT3G08500,no
1167,AT3G08500,no
1168,AT3G08500,no
1169,AT3G08500,no
1170,AT3G08500,no
1171,AT3G08500,no
1172,AT3G08500,no
1173,AT3G08500,no
1174,AT3G08500,no
1175,AT3G08500,no
1176,AT3G08500,no
1177,AT3G08500,no
1178,AT3G08500,no
1179,AT3G08500,no
1180,AT3G08500,no
1181,AT3G08500,no
1182,AT3G08500,no
1183,AT3G08500,no
1184,AT3G08500,no
1185,AT3G08500,no
1186,AT3G08500,no
1187,AT3G08500,no
1188,AT3G08500,no
1189,AT3G08500,no
1190,AT3G08500,no
1191,AT3G08500,no
1192,AT3G08500,no
1193,AT3G08500,no
1194,AT3G08500,no
1195,AT3G08500,no
1196,AT3G08500,no
1197,AT3G08500,no
1198,AT3G08500,no
1199,AT3G08500,no
1200,AT3G08500,no
1201,AT3G08500,no
1202,AT3G08500,no
1203,AT3G08500,no
1204,AT3G08500,no
1205,AT3G08500,no
1206,AT3G08500,no
1207,AT3G08500,no
1208,AT3G08500,no
1209,AT3G08500,no
1210,AT3G08500,no
1211,AT3G08500,no
1212,AT3G08500,no
1213,AT3G08500,no
1214,AT3G08500,no
1215,AT3G08500,no
1216,AT3G08500,no
1217,AT3G08500,no
1218,AT3G08500,no
1219,AT3G08500,no
1220,AT3G08500,no
1221,AT3G08500,no
1222,AT3G08500,no
1223,AT3G08500,no
1224,AT3G08500,no
1225,AT3G08500,no
1226,AT3G08500,no
1227,AT3G08500,no
1228,AT3G08500,no
1229,AT3G08500,no
1230,AT3G08500,no
1231,AT3G08500,no
1232,AT3G08500,no
1233,AT3G08500,no
1234,AT3G08500,no
1235,AT3G08500,no
1236,AT3G08500,no
1237,AT3G08500,no
1238,AT3G08500,no
1239,AT3G08500,no
1240,AT3G08500,no
1241,AT3G08500,no
1242,AT3G08500,no
1243,AT3G08500,no
1244,AT3G08500,no
1245,AT3G08500,no
1246,AT3G08500,no
1247,AT3G08500,no
